Abilene TX,Austin TX,217,215
Abilene TX,Dallas TX,181,159
Abilene TX,Lubbock TX,163,146
Acadia National Park ME,Augusta ME,97,120
Acadia National Park ME,Bangor ME,43,56
Acadia National Park ME,Skowhegan ME,94,104
Akron OH,Cleveland OH,40,46
Akron OH,Pittsburgh PA,110,108
Albany NY,Battleboro VT,79,108
Albany NY,Burlington VT,149,170
Albany NY,Hartford CT,112,110
Albany NY,Poughkeepsie NY,81,84
Albany NY,Springfield MA,87,86
Albany NY,Utica NY,95,94
Albuquerque NM,Amarillo TX,288,252
Albuquerque NM,Las Cruces NM,223,196
Albuquerque NM,Phoenix AZ,419,391
Albuquerque NM,Roswell NM,201,182
Alexandria LA,Lafayette LA,89,79
Alexandria LA,Natchez MS,74,89
Alexandria LA,Port Arthur TX,158,160
Allentown PA,Binghamton NY,135,137
Allentown PA,Harrisburg PA,83,85
Allentown PA,New York NY,91,98
Allentown PA,Philadelphia PA,63,69
Allentown PA,Scranton PA,79,82
Amarillo TX,Dodge City KS,238,238
Amarillo TX,Lubbock TX,124,108
Ann Arbor MI,Detroit MI,43,45
Ann Arbor MI,Lansing MI,65,62
Annapolis MD,Assateague Island MD,113,127
Annapolis MD,Baltimore MD,32,36
Annapolis MD,Ocean City MD,112,130
Annapolis MD,Rehoboth Beach DE,93,111
Annapolis MD,Rehoboth Beach DE,93,113
Annapolis MD,Washington DC,32,41
Appleton WI,Green Bay WI,31,37
Appleton WI,Oshkosh WI,20,26
Appleton WI,Stevens Point WI,69,71
Asheville NC,Atlanta GA,208,201
Asheville NC,Augusta GA,183,195
Asheville NC,Charlotte NC,126,128
Asheville NC,Greensboro NC,173,164
Asheville NC,Knoxville TN,116,119
Asheville NC,Winston-Salem NC,145,140
Assateague Island MD,Ocean City MD,0,0
Assateague Island MD,Rehoboth Beach DE,37,58
Atlanta GA,Augusta GA,146,131
Atlanta GA,Augusta GA,146,132
Atlanta GA,Birmingham AL,147,134
Atlanta GA,Charleston SC,150,170
Atlanta GA,Chattanooga TN,118,113
Atlanta GA,Columbus GA,108,101
Atlanta GA,Macon GA,84,76
Atlantic City NJ,New York NY,129,126
Atlantic City NJ,Philadelphia PA,62,62
Atlantic City NJ,Reeds Beach NJ,41,47
Augusta GA,Charleston SC,150,169
Augusta GA,Charleston SC,167,166
Augusta GA,Columbia SC,75,75
Augusta GA,Hilton Head SC,133,154
Augusta GA,Macon GA,121,132
Augusta GA,Savannah GA,121,146
Augusta ME,Bangor ME,76,76
Augusta ME,Portland ME,56,54
Augusta ME,Skowhegan ME,36,43
Austin TX,Dallas TX,195,168
Austin TX,Fort Stockton TX,344,316
Austin TX,San Antonio TX,80,74
Bakersfield CA,Barstow CA,130,125
Bakersfield CA,Fresno CA,109,98
Bakersfield CA,Los Angeles CA,112,103
Bakersfield CA,Salinas CA,136,136
Baltimore MD,Gettysburg PA,59,73
Baltimore MD,Harrisburg PA,80,91
Baltimore MD,Pittsburgh PA,248,243
Baltimore MD,Washington DC,38,53
Baltimore MD,Wilmington DE,74,77
Barstow CA,Las Vegas NV,156,140
Barstow CA,Los Angeles CA,115,102
Barstow CA,San Diego CA,176,157
Baton Rouge LA,Hammond LA,47,45
Baton Rouge LA,Lafayette LA,56,56
Baton Rouge LA,New Orleans LA,82,76
Battleboro VT,Burlington VT,151,142
Battleboro VT,Concord NH,72,82
Battleboro VT,Hartford VT,62,62
Bemidji MN,Brainerd MN,96,111
Bemidji MN,Duluth MN,149,164
Bemidji MN,Grand Forks ND,114,119
Bentonville AR,Branson MO,85,109
Bentonville AR,Fort Smith AR,82,78
Bentonville AR,Kansas City MO,209,196
Bentonville AR,Tulsa OK,115,126
Bethel ME,Lancaster NH,47,59
Bethel ME,Livermore NH,60,89
Bethel ME,Skowhegan ME,77,101
Big Bend TX,El Paso TX,292,263
Big Bend TX,Fort Stockton TX,137,163
Big Bend TX,Fort Stockton TX,99,91
Billings MT,Bozeman MT,141,127
Billings MT,Buffalo WY,165,143
Biloxi MS,Gulfport MS,13,26
Biloxi MS,Hattiesburg MS,74,76
Biloxi MS,Mobile AL,63,60
Binghamton NY,Elmira NY,57,58
Binghamton NY,Scranton PA,60,63
Birmingham AL,Chattanooga TN,148,131
Birmingham AL,Columbus GA,142,155
Birmingham AL,Decatur AL,86,79
Birmingham AL,Jackson MS,237,211
Birmingham AL,Memphis TN,245,216
Birmingham AL,Montgomery AL,90,81
Birmingham AL,Tupelo MS,136,122
Birmingham AL,Tuscaloosa AL,71,83
Bismark ND,Fargo ND,196,175
Bismark ND,Medora ND,133,119
Bloomington IL,Champaign IL,51,50
Bloomington IL,Chicago IL,135,137
Bloomington IL,Peoria IL,39,44
Bloomington IL,Springfield IL,67,67
Boardman OR,Kennewick WA,52,53
Boardman OR,Portland OR,163,154
Boise ID,Boise ID,339,205
Boise ID,Kennewick WA,288,277
Boise ID,Twin Falls ID,128,114
Boston MA,Concord NH,68,64
Boston MA,Newport RI,72,79
Boston MA,Plymouth MA,40,42
Boston MA,Portsmouth NH,57,60
Boston MA,Providence RI,51,53
Boston MA,Salem MA,25,31
Boston MA,Worcester MA,47,51
Bowling Green KY,Lexington KY,161,148
Bowling Green KY,Louisville KY,123,113
Bowling Green KY,Nashville TN,66,63
Bowling Green KY,Owensboro KY,70,66
Bozeman MT,Butte MT,85,85
Bozeman MT,Helena MT,98,99
Bozeman MT,Park City UT,447,411
Bozeman MT,Salt Lake City UT,417,380
Brainerd MN,Duluth MN,114,123
Brainerd MN,Fargo ND,138,149
Brainerd MN,Minneapolis MN,63,62
Branson MO,Fort Smith AR,151,159
Branson MO,Kansas City MO,210,197
Branson MO,Memphis TN,279,259
Branson MO,St. Louis MO,252,233
Branson MO,Tulsa OK,220,200
Brownsville TX,Corpus Cristi TX,164,143
Brownsville TX,San Antonio TX,277,236
Brownville TX,Laredo TX,208,201
Buffalo NY,Erie PA,93,100
Buffalo NY,Niagra Falls NY,20,25
Buffalo NY,Rochester NY,77,75
Buffalo WY,Casper WY,112,96
Buffalo WY,Rapid City SD,210,186
Burlington VT,Lake Champlain VT,47,89
Burlington VT,Waterbury VT,27,29
Butte MT,Helena MT,68,65
Cape Flattery WA,Tacoma WA,183,230
Carlsbad NM,El Paso TX,155,152
Carlsbad NM,Roswell NM,102,111
Casper WY,Cheyenne WY,178,154
Casper WY,Dubois WY,193,178
Cedar Rapids IA,Dyersville IA,63,69
Cedar Rapids IA,Iowa City IA,28,32
Champaign IL,Chicago IL,134,133
Champaign IL,Decatur IL,87,84
Charleston SC,Columbia SC,114,117
Charleston SC,Hilton Head SC,98,114
Charleston SC,Savannah GA,107,115
Charleston SC,Savannah GA,107,116
Charleston WV,Fayetteville WV,58,69
Charleston WV,Morgantown WV,158,153
Charlo MT,Coeur d'Alene ID,146,153
Charlo MT,Missoula MT,49,57
Charlo MT,Missoula MT,53,57
Charlotte NC,Columbia SC,93,90
Charlotte NC,Fayetteville NC,138,162
Charlotte NC,Greensboro NC,92,85
Charlotte NC,Raleigh NC,166,151
Charlotte NC,Winston-Salem NC,80,76
Chattanooga TN,Huntsville AL,102,101
Chattanooga TN,Knoxville TN,112,103
Chattanooga TN,Nashville TN,134,125
Cheyenne WY,Denver CO,102,100
Cheyenne WY,North Platte NE,221,201
Cheyenne WY,Rapid City SD,289,276
Cheyenne WY,Rock Springs WY,256,229
Chicago IL,Gary IN,30,36
Chicago IL,Lake Geneva WI,83,89
Chicago IL,Milwaukee WI,92,93
Chicago IL,Peoria IL,157,162
Chicago IL,Rockford IL,89,90
Chico CA,Redding CA,73,75
Chico CA,Sacramento CA,90,89
Cincinnati OH,Columbus OH,107,101
Cincinnati OH,Dayton OH,55,58
Cincinnati OH,Indianapolis IN,112,106
Cincinnati OH,Lexington KY,83,83
Cleveland OH,Erie PA,102,102
Cleveland OH,Pittsburgh PA,133,131
Cleveland OH,Sandusky OH,62,68
Coeur d'Alene ID,Missoula MT,165,155
Coeur d'Alene ID,Spokane WA,33,35
Columbia SC,Fayetteville NC,166,149
Columbia SC,Myrtle Beach SC,152,156
Columbus GA,Macon GA,98,108
Columbus GA,Montgomery AL,83,85
Columbus OH,Dayton OH,71,69
Columbus OH,Fort Wayne IN,158,165
Columbus OH,Sandusky OH,110,135
Concord NH,Hartford VT,64,61
Concord NH,Livermore NH,109,119
Corpus Cristi TX,San Antonio TX,143,119
Corpus Cristi TX,South Padre Island TX,181,171
Corpus Cristi TX,Victoria TX,85,84
Crater of Diamonds AR,Dallas TX,234,228
Crater of Diamonds AR,Hot Springs AR,59,79
Crater of Diamonds AR,Shreveport LA,135,139
Craters of the Moon ID,Twin Falls ID,94,122
Dallas TX,Lufkin TX,170,169
Dallas TX,Oklahoma City OK,206,188
Dallas TX,Shreveport LA,188,166
Dallas TX,Waco TX,95,88
Dayton OH,Indianapolis IN,117,116
Daytona Beach FL,Jacksonville FL,89,86
Daytona Beach FL,Orlando FL,56,54
Daytona Beach FL,Palm Bay FL,95,89
Decatur AL,Huntsville AL,26,29
Decatur AL,Memphis TN,191,195
Decatur AL,Nashville TN,117,107
Denver CO,Jensen UT,315,323
Denver CO,North Platte NE,263,236
Des Moines IA,Iowa City IA,114,108
Des Moines IA,Kansas City MO,193,176
Des Moines IA,Mason City IA,121,114
Des Moines IA,Omaha NE,134,126
Des Moines IA,Waterloo IA,111,120
Detroit MI,Flint MI,68,65
Detroit MI,Lansing MI,90,83
Detroit MI,Toledo OH,59,59
Dodge City KS,Grand Island NE,292,293
Dodge City KS,Kansas City MO,335,316
Dodge City KS,Oklahoma City OK,252,260
Dodge City KS,Tulsa OK,317,307
Door County WI,Green Bay WI,43,44
Dothan AL,Evergreen AL,103,122
Dothan AL,Tallahassee FL,94,106
Dubois WY,Jackson HOle WY,86,98
Dubuque IA,Dyersville IA,27,32
Dubuque IA,La Crosse WI,118,141
Dubuque IA,Madison WI,91,92
Dubuque IA,Rockford IL,93,107
Dubuque IA,Spring Green WI,66,68
Duluth MN,Minneapolis MN,155,139
Dyersville IA,Waterloo IA,66,64
Eau Claire WI,La Crosse WI,86,103
Eau Claire WI,Minneapolis MN,92,95
Eau Claire WI,Stevens Point WI,114,120
El Paso TX,Fort Stockton TX,241,202
El Paso TX,Fort Stockton TX,241,208
El Paso TX,Las Cruces NM,46,47
Elko NV,Reno NV,289,258
Elko NV,Salt Lake City UT,230,197
Elko NV,Twin Falls ID,164,157
Ellensburg WA,Seattle WA,107,104
Ellensburg WA,Vantage WA,29,31
Elmira NY,Harrisburg PA,163,183
Elmira NY,Rochester NY,121,116
Elmira NY,Syracuse NY,90,106
Erie PA,Pittsburgh PA,128,123
Eugene OR,Medford OR,168,162
Eugene OR,Salem OR,66,64
Evanston WY,Rock Springs WY,104,94
Evanston WY,Salt Lake City UT,83,81
Evergreen AL,Gulf Shores AL,112,121
Evergreen AL,Meridian MS,148,168
Evergreen AL,Mobile AL,92,89
Evergreen AL,Montgomery AL,78,69
Evergreen AL,Pensacola FL,88,90
Fargo ND,Grand Forks ND,80,77
Fargo ND,Sioux Falls SD,243,216
Fargo ND,St. Cloud MN,172,163
Fayetteville NC,Greensboro NC,94,103
Fayetteville NC,Myrtle Beach SC,120,126
Fayetteville NC,Wilmington NC,92,100
Fayetteville WV,Winston-Salem NC,181,180
Flagstaff AZ,Kingman AZ,147,133
Flagstaff AZ,Las Vegas NV,254,234
Flagstaff AZ,Oljato-Monument Valley UT,172,165
Flagstaff AZ,Phoenix AZ,144,135
Flagstaff AZ,Springdale UT,244,260
Flint MI,Lansing MI,56,53
Flint MI,Saginaw MI,39,38
Fort Meyers FL,Miami FL,157,141
Fort Meyers FL,Tampa FL,127,118
Fort Smith AR,Hot Springs AR,128,157
Fort Smith AR,Kansas City MO,291,261
Fort Smith AR,Tulsa OK,118,115
Fort Stockton TX,Lubbock TX,222,199
Fort Stockton TX,Roswell NM,215,230
Fort Stockton TX,San Antonio TX,312,261
Fort Stockton TX,San Antonio TX,313,264
Fort Wayne IN,Indianapolis IN,126,126
Fort Wayne IN,South Bend IN,65,66
Fort Wayne IN,Toledo OH,102,103
Fresno CA,Stockton CA,126,115
Gainsville FL,Orlando FL,111,101
Gainsville FL,Tallahassee FL,150,141
Gainsville FL,Tampa FL,130,114
Gary IN,Indianapolis IN,152,142
Gary IN,South Bend IN,65,66
Gettysburg PA,Harrisburg PA,39,44
Gettysburg PA,Morgantown WV,174,189
Gettysburg PA,Pittsburgh PA,185,206
Gettysburg PA,Washington DC,29,92
Grand Canyon AZ,Kingman AZ,73,93
Grand Canyon AZ,Las Vegas NV,128,139
Grand Island NE,Lincoln NE,94,90
Grand Island NE,North Platte NE,146,135
Grand Rapids MI,Kalamazoo MI,50,48
Grand Rapids MI,Lansing MI,68,63
Grand Rapids MI,Sleeping Bear Dunes MI,162,174
Green Bay WI,Milwaukee WI,119,110
Greensboro NC,Winston-Salem NC,29,32
Gulf Shores AL,Mobile AL,48,61
Gulf Shores AL,Pensacola FL,34,51
